,Unnamed: 0,Country,Oil,Gas,Coal,Nuclear,Hydro,Total2009,CO2Emm,Lat,Long,Cluster
47,47,Algeria,14.9,24.0,0.7,0.0,0.1,39.7,104.8,28.033886,1.659626,2
48,48,Egypt,33.7,38.3,1.1,0.0,3.1,76.3,197.8,26.820553,30.802498,2
49,49,South_Africa,24.3,0.0,99.4,2.7,0.2,126.8,468.6,-30.559482,22.937506,3
50,50,Australia,42.7,23.1,50.8,0.0,2.6,119.2,386.6,-25.274398,133.775136,2
51,51,Bangladesh,4.5,17.8,0.4,0.0,0.3,22.9,57.0,23.684994,90.356331,2
52,52,China,404.6,79.8,1537.4,15.9,139.3,2177.0,7518.5,35.86166,104.195397,3
53,53,China_Hong_Kong_SAR,14.0,2.3,7.6,0.0,0.0,23.9,78.5,22.3049716,114.1613064,2
54,54,India,148.5,46.7,245.8,3.8,24.0,468.9,1539.1,20.593684,78.96288,3
55,55,Indonesia,62.0,33.0,30.5,0.0,2.7,128.2,388.5,-0.789275,113.921327,2
56,56,Japan,197.6,78.7,108.8,62.1,16.7,463.9,1222.1,36.204824,138.252924,1
57,57,Malaysia,21.4,28.3,4.0,0.0,2.0,55.7,148.0,4.210484,101.975766,2
58,58,New_Zealand,6.8,3.6,1.7,0.0,5.5,17.6,36.2,-40.900557,174.885971,4
59,59,Pakistan,20.6,34.1,4.3,0.6,6.2,65.8,160.4,30.375321,69.34511599999999,2
60,60,Philippines,12.1,3.0,6.8,0.0,2.2,24.2,71.3,12.879721,121.774017,4
61,61,Singapore,52.1,8.7,0.0,0.0,0.0,60.8,180.2,1.352083,103.819836,2
62,62,South_Korea,104.3,30.4,68.6,33.4,0.7,237.5,663.3,35.907757,127.766922,1
63,63,Taiwan,46.6,10.2,38.7,9.4,0.8,105.7,320.3,23.69781,120.960515,1
64,64,Thailand,44.2,35.3,14.1,0.0,1.5,95.1,274.4,15.870032,100.992541,2
